num,country,description,designation,points,price,province,region1,region2,variety,winery
93,US,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Small Lot Blend,86,13.0,California,Mendocino County,Mendocino/Lake Counties,Chardonnay,Parducci
94,Portugal,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now.",Muros de Vinha,86,10.0,Douro,,,Portuguese Red,Quinta do Portal
95,France,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",Château Beauvillain-Monpezat,86,14.0,Southwest France,Cahors,,Malbec-Merlot,Rigal
96,US,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",,86,18.0,California,California,California Other,Chardonnay,The Naked Grape
97,US,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",,86,36.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Tin Barn
98,France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum,86,15.0,Southwest France,Buzet,,Merlot-Malbec,Georges Vigouroux
99,France,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum,86,10.0,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux
100,US,"Juicy kiwi, lime blossom and sour apple candy aromas show on the nose of this ripe white—the first 2016 submitted from the region. The palate is oily in texture, with honeydew and more lime-kiwi-bubblegum flavors.",,86,24.0,California,South Coast,South Coast,Viognier,Hawk Watch Winery
101,US,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",Stephanie,86,50.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hestan
102,Italy,"The nose is a bit shy but eventually reveals underbrush, red berry and a toasted note. The straightforward palate is quite lean, offering raw sour cherry, a green note of powdered sage and a hint of ground pepper alongside raspy tannins that leave an astringent finish.",,86,45.0,Tuscany,Brunello di Montalcino,,Sangiovese,Il Grappolo
103,US,"This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age.",Bella's Blend,86,48.0,California,Knights Valley,Sonoma,Cabernet Sauvignon-Cabernet Franc,Ehret
104,US,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency.",Tears of Dew Late Harvest,86,20.0,California,Paso Robles,Central Coast,Moscato,EOS
105,US,"Aromas of ripe (leaning almost overripe) apple, melon and orange peel are followed by medium-sweet fruit flavors. It needs more acid to stand it up.",Tudor Hills Vineyard,86,17.0,Washington,Yakima Valley,Columbia Valley,Pinot Grigio,Martinez & Martinez
106,US,"Strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors, giving this wine extreme personality. It has medium body and rather soft tannins and texture to balance.",,86,12.0,California,Lodi,Central Valley,Cabernet Franc,Ironstone
107,US,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",,86,10.0,California,California,California Other,Chardonnay,Leaping Horse
108,US,"This wine is dry and substantial, emphasizing earthy, savory flavors over fruity ones. An attractive walnut and almond element carries through from the aroma to the flavors.",,86,13.0,California,California,California Other,White Blend,Kitchen Sink
109,US,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",Homestead Block,86,45.0,California,Napa Valley,Napa,Chardonnay,Kuleto Estate
110,Portugal,"This state-owned estate of forests and vineyards grows organic grapes. This wine, softly structured and ripe has light black fruits and plenty of acidity. An undercurrent of tannin keeps the wine in order and will allow it to age. Drink from 2018.",Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86,12.0,Tejo,,,Portuguese Red,Wines & Winemakers
111,Argentina,"This copper-tinted rosé of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish.",Terroir Único Pinot Noir,86,12.0,Mendoza Province,Tupungato,,Rosé,Zorzal
112,US,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",Limited Release Cold Springs Vineyard,86,125.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Charles Krug
113,US,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish.",Castle Hill Vineyard,86,25.0,New York,Hudson River Region,New York Other,Riesling,Millbrook
114,South Africa,"Muted aromas of tart gooseberry and lime peel dance in the bouquet, while pithy flavors of plum skin, currant and citrus rind unfold on the lightweight, slightly astringent palate. Pleasant hints of fresh herbs and saline make a fleeting impression on the close.",Circumstance,86,20.0,Stellenbosch,,,Sauvignon Blanc,Waterkloof
115,Argentina,"Aromas of prune, raisin and black plum are full and gritty. A chunky full-bodied palate feels grabby, while this tastes of generic blackberry, burnt coffee and dark chocolate. A steady plump, rubbery finish closes the show.",Reserva,86,15.0,Mendoza Province,Valle de Uco,,Malbec,Viñalba
116,Spain,"Aromas of brandied cherry and crème de cassis include a horsey sidenote and some heat. This sweet Monastrell smacks the palate with hard tannins. Flavors of black cherry, cassis and baked plum finish blocky.",Dulce Tinto,86,,Levante,Jumilla,,Monastrell,Casa de la Ermita
117,France,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now.",,86,20.0,Southwest France,Gaillac,,Rosé,Château Clément Termes
118,France,This softly fruity wine has the lightest of tannins and plenty of simple red-berry fruits. There is an earthy edge to the young wine as well as plenty of acidity at the end. Drink now.,Il est des nôôôtres!,86,15.0,Southwest France,,,Gamay,Château Coutinel
119,Portugal,"This broad, fruity wine brings out ripe berry flavors in spades. It has generous fruit, soft tannins and a smooth, open texture. Drink now.",Convento da Vila,86,7.0,Alentejano,,,Portuguese Red,Adega Cooperativa de Borba
120,US,"Let this burly, big-boned beauty open to fully enjoy its robust oak and fistfuls of black cherry, the oak showing in terms of toasty, slightly reductive aromas. A smooth texture keeps the wine flowing along a concentrated highway of power and ripeness.",The Flyer,91,59.0,California,Russian River Valley,Sonoma,Pinot Noir,MacPhail
121,US,"This small-quantity selection from within the Charles Vineyard was fermented by native yeast, and neither fined nor filtered. It is quite aromatic, full bodied and moderately fruity, and has a nice rounded mouthfeel, generous red-cherry and spice flavors and good structure from acidity and mild tannins. Tart cherry lingers on the finish.",Charles Vineyard Clone 05,91,49.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
122,US,"A deeper salmon color with elegantly lacy bubbles and a slight cloudy appearance, this sparkler by Norm Yost offers dessicated watermelon, dried orange blossoms, yeast, citrus rinds and fresher strawberry notes on the nose. Tart raspberry and yeasty melon show on the palate, which offers a salty component as well as a surprising but nice amount of grip.",Solomon Hills Vineyard Rosé,91,42.0,California,Santa Maria Valley,Central Coast,Sparkling Blend,Goat Bubbles
123,US,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021.",Paris Tasting Commemorative,91,93.0,California,Napa Valley,Napa,Chardonnay,Grgich Hills
124,US,"This wine is tasty, tangy and nervy, bringing a very refreshing and appetizing mouthfeel, and wonderful fresh acidity. All of that tang shows good fruitiness too, as the red-cherry and cranberry flavors are vivid and concentrated. It's a versatile wine to drink now or buy by the case to save some bottles for more aging.",Methode a l'Ancienne,91,32.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
125,US,"This medium-bodied wine has a compelling blend of restraint and power. It offers modest, fruity aromas at first, then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish. With little oak flavor in the way, it gives pure Pinot sophistication.",,91,20.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Navarro
126,US,"Renwood's tiny two-barrel production of its most expensive Zinfandel has aromas like vanilla and coconut and flavors as rich as milk chocolate and strawberry jam. This full-bodied wine is practically a liquid dessert, though it's not overly sweet. It's full-bodied, smooth and broad in texture.",Grand Wren,90,100.0,California,Amador County,Sierra Foothills,Zinfandel,Renwood
127,US,"This is a thick, chocolatey wine with a side of leather and black pepper that appeals on multiple levels. Full-bodied concentration gives way to a smooth, rounded palate robust in blackberry and vanilla.",Central Park West Vineyard,90,50.0,California,St. Helena,Napa,Cabernet Sauvignon,Trinchero
128,Spain,"Aromas of strawberry, currant and spice are good in a subtle, non-pushy way. Fresh and grabby on the palate, this tastes of red fruits, baking spices and cocoa. Drying tannins along with cassis and chocolate flavors push a healthy finish. Drink through 2020.",Arnegui Reserva,90,22.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey
129,Italy,"Scents of Spanish broom, pineapple, orchard fruit and a saline note meld together in the glass. The focused palate offers mature apple, peach, botanical herb and mineral alongside firm acidity.",Chianta Bianco,90,45.0,Sicily & Sardinia,Etna,,White Blend,Biondi
130,Italy,"Juicy and delicious, this has aromas of ripe orchard fruit and fragrant Spanish broom. The succulent palate doles out crisp Granny Smith apple, Anjou pear, nectarine and mineral alongside bright acidity.",,90,18.0,Southern Italy,Greco di Tufo,,Greco,Cantine di Marzo
131,US,"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth.",,90,45.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Alexander-Smith
132,US,"Meaty, smoky aromas and good, high-amplitude fruit flavors give a robust personality to this full-bodied, dry and firmly tannic wine. It will make a good pairing with pasta, roasted birds or grilled meat.",Cooper Ranch,90,26.0,California,Amador County,Sierra Foothills,Barbera,Andis
133,US,"This is a delightfully crisp, elegant and lip-smacking wine, that's subtle and easy to love. Lemon peel, apple skin and pear play together well, never becoming distracting, but instead integrating well with one another and the light hint of oak. Food friendly, it's also a great deal.",,90,16.0,California,Sonoma County,Sonoma,Chardonnay,Benziger
134,US,"While Cabernet Sauvignon dominant, all five red Bordeaux varieties are represented here. Dark in color, a combination of black pepper and black-fruit syrup meets earthy and dry tannins. This structured wine needs time. Cellar through 2020.",Longwood,90,30.0,California,Napa Valley,Napa,Cabernet Sauvignon,Beaucanon
135,US,"Quite dark in color, brooding aromas of olallieberry, blackberry, grape soda, plums and concentrated purple flowers appease the nose on this bottling from one of Paso's newly designated appellations. The palate blends licorice, turned earth and eucalyptus with a fresh pomegranate juice flavor.",Estate,90,42.0,California,Adelaida District,Central Coast,Grenache,Brecon Estate
136,US,"A nose of sour cherry and cranberry meshes with sandalwood and savory herbs on this single-site study by the longtime Paso producer. The palate is overflowing with oregano and other dried garden herbs, laid against a juicy red and purple-fruit frame.",Mustang Springs,90,38.0,California,Adelaida District,Central Coast,Zinfandel,Peachy Canyon
137,US,"Heavy fruit concentration meets thick, velvety tannins in this full-bodied, deeply colored and extremely flavorful wine. It's big enough to pair with big proteins, and concentrated enough to keep improving in the cellar. Best after 2019.",SMC,90,48.0,California,California,California Other,Rhône-style Red Blend,Three
138,Spain,"Cherry, plum, vanilla and mild oak aromas feed into a medium-bodied, elegant palate with plum and cherry flavors supported by a touch of toasty oak and vanilla. Notes of café mocha and toast grace a crisp finish that isn't trying too hard.",Crianza,90,17.0,Northern Spain,Rioja,,Tempranillo,Valdelacierva
139,France,"Attractive fruity tones of red currant, raspberry and strawberry hull dance in the bouquet of this pretty rosé, graced by garrigue accents of lavender and rosemary. Flavors of red berry skin and peach pit unfold on the medium-weight palate, framed by soft tannins and a delicate spice note that lingers on the close.",Le,90,18.0,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,,Rosé,Château de Lancyre
140,France,"Lightly structured, this is a balanced, ripe wine. It has profited from the good vintage to offer strawberry, raspberry and citrus flavors that are well balanced and textured. Drink this attractive wine now.",,90,15.0,Bordeaux,Bordeaux Rosé,,Rosé,Château Suau
141,US,"A sublime twist of citrus lies at the heart of this light yet complex white, which is refreshing and layered with a subtle bite of underlying oak. From a dry-farmed vineyard maintained by the same family for 30 years, this whole-cluster pressed wine was given time in a majority of stainless steel and neutral French oak. It shines in moderate acidity and tropical flair.",Rte Blanc,90,28.0,California,Napa Valley,Napa,Sauvignon Blanc,Clif Family
142,US,"There is tons of lively action packed into the nose of this wine, from rosebuds and zesty cherry cola to cinnamon spice and rainbow peppercorns. The texture is relatively light on the sip, and yet grippy tannins and a bursting acidity swim across the palate, showing vibrant iron and red-fruit flavors.",Hook Vineyard,90,25.0,California,Santa Lucia Highlands,Central Coast,Grenache,Santa Cruz Mountain Vineyard
143,US,"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power.",,90,26.0,Oregon,Applegate Valley,Southern Oregon,Chardonnay,Schmidt
144,US,"Clean, sharp and zesty fruit blossom aromas meet with ripe pomelo and green apple scents on the nose of this wine by Steve Dooley. A fresh, tingling acidity shows on the sip, which is a tad sour with stone fruit skins but bountiful in a slate-driven minerality and grippy texture. Cool climate Albariño has much promise in the state.",Jespersen Ranch,90,24.0,California,Edna Valley,Central Coast,Albariño,Stephen Ross
145,US,"Red-cherry and strawberry aromas meld with rich fruit and warm baking-spice flavors to make this full-bodied wine hard to resist. The style is in the ripe, pastry shop mode, and soft tannins and acidity complete the picture.",,90,55.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
146,US,"This is an exuberantly fruity, spicy and robust wine, speckled with 2% Petite Sirah. Dark and full of red berry flavor, the palate is dusted in brown sugar and black pepper. Ripe and concentrated, it drinks smooth and elegant despite its serious power.",Estate Grown,90,36.0,California,Napa Valley,Napa,Zinfandel,Grgich Hills
147,Spain,"Aromas of white flowers, stone fruits and lees are typical of well-made Albariño. A juicy, elegant palate with a mix of citrus and stone-fruit flavors is lasting, with a hint of pithy character coming up on the finish.",,90,17.0,Galicia,Rías Baixas,,Albariño,Mar de Viñas
148,US,"Quite vibrant and floral on the nose, this shows deep blackberry and both dried and fresh purple-flower elements as well as a baked berry pastry. The flavors are well integrated on the palate, where cooked blackberries in a vanilla pie crust combine with juicy strawberry, peppercorns and rosemary spice.",,90,40.0,California,Sta. Rita Hills,Central Coast,Syrah,Kessler-Haak
149,US,"This most intriguing white grape, which the Larners grow as an ode to their Italian past, shows a sweet nose with a bone dry palate. Sugary citrus scents of orange blossoms and peach syrup give way to a brisk palate full of honeysuckle, night jasmine and a nearly pine needle bitterness that cuts dynamically through it all.",,90,28.0,California,Ballard Canyon,Central Coast,Malvasia Bianca,Larner
150,US,"Reflecting the vintage, this Pinot is light and lithe in style. It shows tart cherry fruit and suggestions of chocolate, with bright acidity and a thin finish.",,89,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Bomb
151,Greece,"This wine is a conversation starter, with its nose of mandarin orange, lemon peel and vanilla. On the palate, white flowers, citrus and lush tropical fruits mingle well. Pair with salmon and poultry.",Kapnias,89,24.0,Atalanti Valley,,,White Blend,Hatzimichalis
152,Spain,"Dusty, leesy aromas of apple and vanilla are sturdy. This brut Cava is fresh and modestly elegant on the palate, with lime, apple and tarragon flavors. A dry, confident finish offers apple and citrus flavors and a sense of ease.",Brut Reserva,89,17.0,Catalonia,Cava,,Sparkling Blend,Bohigas
153,Greece,"Bright aromas of citrus and tropical fruit give this easygoing white an easy appeal. Balanced and fresh, it's an elegant wine that will pair well with grilled fish and salads.",,89,21.0,Santorini,,,Assyrtiko,Boutari
154,Greece,"Peach, pear and lemon on the nose start this cheerful white from Alpha Estate. On the palate, it offers some complexity of exotic fruit and with a vein of acidity. Soft overall in profile, this wine is easygoing and enjoyable.",Axia Malagouzia,89,18.0,Florina,,,Malagouzia,Alpha Estate
155,Chile,"Lightly herbal, horsey aromas of blueberry, black plum and cardamom are ripe by Carmenère standards. Hailing from a hot vintage, this is a bit flabby in feel, with soft tannins. Chunky plum and blackberry flavors finish with notes of licorice and mint along with a chewy, syrupy feel.",Ecos de Rulo Single Vineyard El Chequén Estate,89,20.0,Marchigue,,,Carmenère,Viña Bisquertt
156,France,"This well-balanced, fruity wine allows space for some solid dry tannins that also show wood aging. Berry fruits shine through the structure to give a juicy character that is underlined by the fresh acidity at the end.",,89,20.0,Southwest France,Cahors,,Bordeaux-style Red Blend,Chateau Quattre
157,US,"In this fruit-forward vintage, it's not surprising to find that what shines here are the bright, spicy and tart flavors of strawberries, raspberries and cherries. The Sangiovese was co-fermented with 7% Syrah, and aged in 30% new American oak. As the wine breathes open the flavors of oak and char come up, and the tannins show some extra grip.",,89,24.0,Oregon,Rogue Valley,Southern Oregon,Sangiovese,Ledger David
158,Spain,"Aromas of leather, roast plum and compost are challenging and not immediately inviting. In the mouth, this shows rubbery tannins and juicy acidity. Saucy, herbal plum and currant flavors ride on a beam of acidity toward an earthy, tomatoey finish with a lightly leafy aftertaste.",Viña Real Gran Reserva,89,44.0,Northern Spain,Rioja,,Tempranillo,CVNE
159,Chile,"Staunch berry, cassis and spice aromas are friendly and congruent. This Malbec-led blend is jammy in feel, a bit hollow in the middle, and easy to like as a whole. Blackberry and blueberry flavors finish fleshy, with soft tannins.",Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,89,19.0,Colchagua Valley,,,Red Blend,Estampa
160,US,"Winemaker Billy Wathen blends 60% Merlot and 40% Cabernet Franc into this blend that's named after the U.S. Geologic Survey's name for Happy Canyon. A nose of dried oregano and thyme has a Bing cherry backdrop, with a palate of green peppers, blackberries and tomato leaf.",Range 30 West,89,42.0,California,Happy Canyon of Santa Barbara,Central Coast,Bordeaux-style Red Blend,Foxen 7200
161,US,"A blend of fruit from three Rogue Valley sites, this is a fine example of the style of Pinot made in Southern Oregon. The estate vineyard sits at 2,100 feet on a steep, east-facing slope, with densely planted vines. It's a big, blocky, full-bodied wine, loaded with flavors of black cherry, black coffee and barrel toast. Tannins are substantial, but the flavors are full and forward. What it lacks in elegance it makes up for in immediate likeability.",,89,35.0,Oregon,Oregon,Oregon Other,Pinot Noir,Irvine Family Vineyards
162,Spain,"Dense, tarry aromas of asphalt and rubbery boysenberry are hefty but also a bit flat. This has a tannic mouthfeel to go with blackberry, prune and raisin flavors. Toast, bitter chocolate and full-bodied weight push the finish on this oaky, ripe Rioja. Drink through 2020.",Gaudium,89,44.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres
163,US,"This medium-bodied wine shows an array of smoky, meaty aromas, along with ripe plum and tart blackberry flavors. Not at all overripe, but made with some restraint, it allows savory flavors like tarragon and anise to peek through. The blend includes 9% Cabernet Sauvignon.",,89,16.0,California,Dunnigan Hills,Central Valley,Syrah,Matchbook
164,US,"The grape's usual peachy aromas show on this wine from regional pioneer Gary Eberle, along with lemon juice, honey and a touch of minerality. There is a nice mineral-driven tension on the palate, with flavors of apple and pear cider. It's a solid, down-the-middle take on the grape—not too ripe, not too thin.",Mill Road Vineyard,89,23.0,California,Paso Robles,Central Coast,Viognier,Eberle
165,US,"Tightly focused, as is often true of single-vineyard bottlings, this matches spicy berry fruit to light barrel flavors of milk chocolate. It's smooth and accessible, but finishes a bit short.",Freedom Hill Vineyard,89,36.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
166,Italy,"Crushed plum, espresso, tobacco and cedar aromas unfold in the glass. A blend of 90% Merlot and 10% Alicante, the straightforward palate offers blackberries, red currants, clove and licorice alongside fine-grained tannins.",Le Redini,89,25.0,Tuscany,Toscana,,Red Blend,Tenuta degli Dei
167,Italy,"Aromas of wild berries, violets and a whiff of spice lead the nose on this blend of Sangiovese and 15% Merlot. The savory, easygoing palate offers mature black cherry, clove and black pepper alongside lithe tannins. Drink through 2016.",Il Guardiano,89,22.0,Tuscany,Toscana,,Red Blend,Poggio Mandorlo
168,Portugal,"Structured and firm, this is a dry wine with the potential of fine fruit in the future. Acidity cuts through the texture promising the freshness of black currants and berries. It's a perfumed wine that can still age. Drink from 2016.",,89,20.0,Douro,,,Touriga Nacional,Quinta das Carvalhas
169,US,"This has a light yellow color with a touch of green and a subtle smell of crisp green apples. Flavors that are richer than expected, like poached pears, butter and fig. The texture is rich, the body full and the ripe flavors linger on the finish.",Del Arroyo Vineyard,89,25.0,California,Livermore Valley,Central Coast,Chardonnay,Occasio
170,US,"Rhubarb, cola and pencil shavings emerge from the glass on this appellation blend from the longtime Santa Rosa Road winery, today owned by the Terlato family. Deeply earthy aromas of beet juice, root beer and dried berries arise on the palate, showing the region's typical blend of soil minerality and dark fruit.",,89,42.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Sanford
171,Chile,"Dark, charred, lemony aromas of graphite, licorice and blackberry are horsey and baked. This blend of 85% Cab Sauv and 15% Cab Franc has an intense, blocky, pinching palate and heavy flavors of black fruits, resiny oak, spice and salt. A woody, tannic, raw feel to the finish creates a bumpy landing. Drink through 2021.",Family Collection,89,30.0,Curicó Valley,,,Cabernet Sauvignon-Cabernet Franc,Santa Alba
172,Greece,"Aromas of leather, cherry and plum lead this balanced red from Boutari. Ripe cherry, cedar and cinnamon flavors carry the palate, with soft tannins giving a sultry feel.",,89,17.0,Nemea,,,Agiorgitiko,Boutari
173,US,"Made from what Californians call the Pommard clone, this has a light, traditional garnet color. Fresh and lively fruit aromas resemble cranberries and red cherries, followed by tangy fruit and cinnamon flavors of medium intensity, supported by firm acidity and moderate tannins.",Charles Vineyard Clone O5,89,49.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
174,France,"This is aged in oak, but the vessels are large casks, or foudres, so the impact isn't that noticeable. The wine is meaty and savory on the nose, but the palate shows more herb-garrigue flavors and superripe cherry fruit. Drink now–2017.",Héritages Elevé en Foudres de Chêne,89,16.0,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Ogier
175,Spain,"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Gran Bajoz,89,30.0,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey
176,Italy,"Here's a sleek Sangiovese that opens with scents of toasted oak, vanilla, blue flowers and mature plum. The round palate is already accessible, serving up sweet black cherry, black raspberry, licorice and mint framed in assertive but fine-grained tannins.",Palazzo Altesi,89,40.0,Tuscany,Toscana,,Sangiovese,Altesino
177,Italy,"A robust blend of 70% Sangiovese and 30% Cabernet Sauvignon, this offers aromas of baked plum, mocha, menthol and oak-driven spice. The hearty palate initially opens with black fruit, chocolate, licorice and dried herb flavors but the heat of evident alcohol dominates the finish and the close.",Il Borgo,89,57.0,Tuscany,Toscana,,Red Blend,Cabreo
178,US,"Juicy and soft in blackberry and black cherry, this wine is nicely resolved in terms of tannin and oak structure,. These provide weight on the back palate, with enough heightened acidity on the finish to stay on balance. Strawberry and dried herb close things out.",Lot 525,89,29.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
179,Chile,"Aromas of latex, tire rubber, spice, cured meat and berry fruits are rugged and require patience to sift through. This Cabernet Sauvignon-led blend is big and grabby, but not precise, with loud, herbal, muscular flavors of stewed plum, licorice and peppercorn.",Perla Negra,89,61.0,Maule Valley,,,Red Blend,Casa Donoso
180,US,"Focused streaks of high-acidity lemon and a low oak profile combine for a refreshing take on Chardonnay, the other components coming together in swathes of fennel and brine. The wine finishes with a hit of power.",,88,25.0,California,Sonoma Coast,Sonoma,Chardonnay,Rodney Strong
181,US,"Oak aromas takes center stage with this wine by the Riboli family, with black cherry extract and a nearly Bourbon-barrel character on the nose. The rich, deep red fruit carries to the palate, which gains complexity from licorice and a tiny bit of tar.",Estate Reserve,88,25.0,California,Paso Robles,Central Coast,Syrah,San Simeon
182,US,"Super earthy, in the classic damp forest-floor way, this also offers hints of menthol, eucalyptus and tomato leaf. The wine begins light bodied, but builds up power and weight as it goes. Layered with black cherry and plum, it's dark and savory.",Sonatera Vineyard,88,49.0,California,Sonoma Coast,Sonoma,Pinot Noir,Siduri
183,US,"Stainless-steel fermented and aged, this 100% varietal wine suggests kumquat, talc and wet stone. The flavor concentration is light with taut acidity the focus. It needs food; pair it with shellfish to see it shine.",Boushey Vineyard,88,20.0,Washington,Yakima Valley,Columbia Valley,Picpoul,Syncline
184,Argentina,"Dark, minty, inky aromas of blackberry are rugged. Same for the palate, which is pinched and rubbery, with grabby tannins. Flavors of toasted, blackened berry fruits are chocolaty and well oaked. Raw heat and minty, coffee flavors rev up the finish on this Malbec-led blend.",Trinità Grand Reserve,88,26.0,Mendoza Province,Luján de Cuyo,,Bordeaux-style Red Blend,Piattelli
185,US,"Merlot (57%) takes the lead on this lighter-colored wine that offers raspberries, cherries, herbs and woodspice. The fruit flavors are fresh and elegant, with lightly chalky tannins.",Entwined,88,34.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Pondera
186,US,"This is a lush and powerful wine from a vineyard in the recently designated Paso Highlands district. Aromas suggest gingerbread topped with kirsch-soaked, chocolate-covered cherries. The palate is thick and heavy, with mocha, stewed plums, mashed cherries and black earth, which gain complexity from tannins and pencil lead.",French Camp Vineyard,88,38.0,California,Paso Robles,Central Coast,Zinfandel,Tobin James
187,US,"Hailing from the recently designated Paso Highlands subappellation, this hearty wine shows earthy aromas of nutmeg, iron, hot rocks, loam and cherry extract. It's lush and ripe with cassis and black cherry fruit, yet shows a more elegant chalkiness on the palate as well, rounded out by cocoa powder.",French Camp Vineyard,88,38.0,California,Paso Robles,Central Coast,Zinfandel,Tobin James
188,Spain,"Apple, nectarine, lees and briny aromas steer this Godello toward a round, full palate. Slightly bitter flavors of melon and peach finish much like the wine starts—briny and leesy. This is also pithy tasting, like the inside of a grapefruit peel.",Sobre Lías,88,25.0,Northern Spain,Valdeorras,,Godello,Valdesil
189,Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22.0,Catalonia,Montsant,,Red Blend,Jaspi
190,Argentina,"Dark-berry aromas are crisp and show a note of minerality as well as barrel char. This is firm, juicy and modest in structure, with flavors of blackberry and cassis touched up by some oak. A non-pushy finish with a hint of mocha is a good close.",Reserve,87,15.0,Mendoza Province,Tupungato,,Malbec,Tupun
191,France,Bright fruit is allied to a more mineral structure to give a wine that shows the freshness of the vintage plus a more long-term view. It is cool with red fruits and some firm tannins that act as a background. Drink from 2017.,,87,20.0,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Beauregard Lagupeau
192,France,"Owned by the Cruse family, one of the Bordeaux wine aristocracy, this rich wine is dominated by Merlot, giving it ample weight. The 18 months of wood aging shows in the smoky edge to the wine, although this will soften. Drink from 2017.",,87,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château du Taillan
